Category,Subcategory,Type,Country,Value
Cardiovascular disease†,Deaths,Percentage,Colombia,16.0
Cardiovascular disease†,Deaths,Attributed,Costa Rica,431.0
Cardiovascular disease†,Deaths,Total,Costa Rica,3785.0
Cardiovascular disease†,Deaths,Percentage,Costa Rica,11.0
Cardiovascular disease†,Deaths,Attributed,Ecuador,1330.0
Cardiovascular disease†,Deaths,Total,Ecuador,9331.0
Cardiovascular disease†,Deaths,Percentage,Ecuador,14.0
Cardiovascular disease†,Deaths,Attributed,Honduras,258.0
Cardiovascular disease†,Deaths,Total,Honduras,1823.0
Cardiovascular disease†,Deaths,Percentage,Honduras,14.0
Cardiovascular disease†,Deaths,Attributed,Mexico,13302.0
Cardiovascular disease†,Deaths,Total,Mexico,103555.0
Cardiovascular disease†,Deaths,Percentage,Mexico,13.0
Cardiovascular disease†,Deaths,Attributed,Paraguay,692.0
Cardiovascular disease†,Deaths,Total,Paraguay,3573.0
Cardiovascular disease†,Deaths,Percentage,Paraguay,19.0
Cardiovascular disease†,Deaths,Attributed,Peru,2029.0
Cardiovascular disease†,Deaths,Total,Peru,11724.0
Cardiovascular disease†,Deaths,Percentage,Peru,17.0
Cardiovascular disease†,Deaths,Attributed,Uruguay,768.0
Cardiovascular disease†,Deaths,Total,Uruguay,5588.0
Cardiovascular disease†,Deaths,Percentage,Uruguay,14.0
Cardiovascular disease†,Deaths,Attributed,Total,76896.0
Cardiovascular disease†,Deaths,Total,Total,494755.0
Cardiovascular disease†,Deaths,Percentage,Total,16.0
Cardiovascular disease†,Event incidence,Attributed,Argentina,63162.0
Cardiovascular disease†,Event incidence,Total,Argentina,261258.0
Cardiovascular disease†,Event incidence,Percentage,Argentina,24.0
Cardiovascular disease†,Event incidence,Attributed,Bolivia,2580.0
Cardiovascular disease†,Event incidence,Total,Bolivia,12897.0
Cardiovascular disease†,Event incidence,Percentage,Bolivia,19.0
Cardiovascular disease†,Event incidence,Attributed,Brazil,470666.0
Cardiovascular disease†,Event incidence,Total,Brazil,2007840.0
Cardiovascular disease†,Event incidence,Percentage,Brazil,23.0
Cardiovascular disease†,Event incidence,Attributed,Chile,22397.0
Cardiovascular disease†,Event incidence,Total,Chile,64613.0
Cardiovascular disease†,Event incidence,Percentage,Chile,35.0
Cardiovascular disease†,Event incidence,Attributed,Colombia,91505.0
Cardiovascular disease†,Event incidence,Total,Colombia,389672.0
Cardiovascular disease†,Event incidence,Percentage,Colombia,23.0
Cardiovascular disease†,Event incidence,Attributed,Costa Rica,6495.0
Cardiovascular disease†,Event incidence,Total,Costa Rica,35936.0
Cardiovascular disease†,Event incidence,Percentage,Costa Rica,18.0
Cardiovascular disease†,Event incidence,Attributed,Ecuador,4897.0
Cardiovascular disease†,Event incidence,Total,Ecuador,16196.0
Cardiovascular disease†,Event incidence,Percentage,Ecuador,22.0
Cardiovascular disease†,Event incidence,Attributed,Honduras,3033.0
Cardiovascular disease†,Event incidence,Total,Honduras,15009.0
Cardiovascular disease†,Event incidence,Percentage,Honduras,20.0
Cardiovascular disease†,Event incidence,Attributed,Mexico,106369.0
Cardiovascular disease†,Event incidence,Total,Mexico,527342.0
Cardiovascular disease†,Event incidence,Percentage,Mexico,20.0
Cardiovascular disease†,Event incidence,Attributed,Paraguay,9075.0
Cardiovascular disease†,Event incidence,Total,Paraguay,36628.0
Cardiovascular disease†,Event incidence,Percentage,Paraguay,25.0
Cardiovascular disease†,Event incidence,Attributed,Peru,8429.0
Cardiovascular disease†,Event incidence,Total,Peru,35505.0
Cardiovascular disease†,Event incidence,Percentage,Peru,24.0
Cardiovascular disease†,Event incidence,Attributed,Uruguay,6571.0
Cardiovascular disease†,Event incidence,Total,Uruguay,26681.0
Cardiovascular disease†,Event incidence,Percentage,Uruguay,22.0
Cardiovascular disease†,Event incidence,Attributed,Total,795179.0
Cardiovascular disease†,Event incidence,Total,Total,3429576.0
Cardiovascular disease†,Event incidence,Percentage,Total,23.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Argentina,1096.4
Cardiovascular disease†,Direct medical cost (millions $),Total,Argentina,4818.8
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Argentina,23.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Bolivia,71.1
Cardiovascular disease†,Direct medical cost (millions $),Total,Bolivia,310.3
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Bolivia,23.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Brazil,3082.5
Cardiovascular disease†,Direct medical cost (millions $),Total,Brazil,13768.9
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Brazil,22.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Chile,438.7
Cardiovascular disease†,Direct medical cost (millions $),Total,Chile,1283.1
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Chile,34.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Colombia,546.9
Cardiovascular disease†,Direct medical cost (millions $),Total,Colombia,2468.6
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Colombia,22.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Costa Rica,97.1
Cardiovascular disease†,Direct medical cost (millions $),Total,Costa Rica,584.0
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Costa Rica,17.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Ecuador,77.0
Cardiovascular disease†,Direct medical cost (millions $),Total,Ecuador,293.1
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Ecuador,26.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Honduras,23.6
Cardiovascular disease†,Direct medical cost (millions $),Total,Honduras,117.5
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Honduras,20.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Mexico,1656.3
Cardiovascular disease†,Direct medical cost (millions $),Total,Mexico,8038.4
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Mexico,21.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Paraguay,123.4
Cardiovascular disease†,Direct medical cost (millions $),Total,Paraguay,525.8
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Paraguay,23.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Peru,125.7
Cardiovascular disease†,Direct medical cost (millions $),Total,Peru,480.4
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Peru,26.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Uruguay,273.6
Cardiovascular disease†,Direct medical cost (millions $),Total,Uruguay,1272.3
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Uruguay,21.0
Cardiovascular disease†,Direct medical cost (millions $),Attributed,Total,7612.3
Cardiovascular disease†,Direct medical cost (millions $),Total,Total,33961.2
Cardiovascular disease†,Direct medical cost (millions $),Percentage,Total,22.0
Stroke†,Deaths,Attributed,Argentina,2786.0
Stroke†,Deaths,Total,Argentina,21960.0
Stroke†,Deaths,Percentage,Argentina,13.0
Stroke†,Deaths,Attributed,Bolivia,522.0
Stroke†,Deaths,Total,Bolivia,2896.0
Stroke†,Deaths,Percentage,Bolivia,18.0
Stroke†,Deaths,Attributed,Brazil,10812.0
Stroke†,Deaths,Total,Brazil,80857.0
Stroke†,Deaths,Percentage,Brazil,13.0
Stroke†,Deaths,Attributed,Chile,1792.0
Stroke†,Deaths,Total,Chile,9929.0
Stroke†,Deaths,Percentage,Chile,18.0
Stroke†,Deaths,Attributed,Colombia,2195.0
Stroke†,Deaths,Total,Colombia,17007.0
Stroke†,Deaths,Percentage,Colombia,13.0
Stroke†,Deaths,Attributed,Costa Rica,125.0
Stroke†,Deaths,Total,Costa Rica,1338.0
Stroke†,Deaths,Percentage,Costa Rica,9.0
Stroke†,Deaths,Attributed,Ecuador,440.0
Stroke†,Deaths,Total,Ecuador,3357.0
Stroke†,Deaths,Percentage,Ecuador,13.0
Stroke†,Deaths,Attributed,Honduras,65.0
Stroke†,Deaths,Total,Honduras,561.0
Stroke†,Deaths,Percentage,Honduras,12.0
Stroke†,Deaths,Attributed,Mexico,3740.0
Stroke†,Deaths,Total,Mexico,39731.0
Stroke†,Deaths,Percentage,Mexico,9.0
Stroke†,Deaths,Attributed,Paraguay,270.0
Stroke†,Deaths,Total,Paraguay,1770.0
Stroke†,Deaths,Percentage,Paraguay,15.0
Stroke†,Deaths,Attributed,Peru,1114.0
Stroke†,Deaths,Total,Peru,6735.0
Stroke†,Deaths,Percentage,Peru,17.0
Stroke†,Deaths,Attributed,Uruguay,173.0
Stroke†,Deaths,Total,Uruguay,1559.0
Stroke†,Deaths,Percentage,Uruguay,11.0
Stroke†,Deaths,Attributed,Total,24034.0
Stroke†,Deaths,Total,Total,187698.0
Stroke†,Deaths,Percentage,Total,13.0
Stroke†,Event incidence,Attributed,Argentina,14740.0
Stroke†,Event incidence,Total,Argentina,99878.0
Stroke†,Event incidence,Percentage,Argentina,15.0
Stroke†,Event incidence,Attributed,Bolivia,3728.0
Stroke†,Event incidence,Total,Bolivia,20839.0
Stroke†,Event incidence,Percentage,Bolivia,18.0
Stroke†,Event incidence,Attributed,Brazil,59509.0
Stroke†,Event incidence,Total,Brazil,385523.0
Stroke†,Event incidence,Percentage,Brazil,15.0
Stroke†,Event incidence,Attributed,Chile,14473.0
Stroke†,Event incidence,Total,Chile,67421.0
Stroke†,Event incidence,Percentage,Chile,21.0
Stroke†,Event incidence,Attributed,Colombia,23233.0
Stroke†,Event incidence,Total,Colombia,160477.0
Stroke†,Event incidence,Percentage,Colombia,14.0
Stroke†,Event incidence,Attributed,Costa Rica,500.0
Stroke†,Event incidence,Total,Costa Rica,5088.0
Stroke†,Event incidence,Percentage,Costa Rica,10.0
Stroke†,Event incidence,Attributed,Ecuador,3064.0
Stroke†,Event incidence,Total,Ecuador,23671.0
Stroke†,Event incidence,Percentage,Ecuador,13.0
Stroke†,Event incidence,Attributed,Honduras,263.0
Stroke†,Event incidence,Total,Honduras,2175.0
Stroke†,Event incidence,Percentage,Honduras,12.0
Stroke†,Event incidence,Attributed,Mexico,15273.0
Stroke†,Event incidence,Total,Mexico,153259.0
Stroke†,Event incidence,Percentage,Mexico,10.0
Stroke†,Event incidence,Attributed,Paraguay,1414.0
Stroke†,Event incidence,Total,Paraguay,8433.0
Stroke†,Event incidence,Percentage,Paraguay,17.0
Stroke†,Event incidence,Attributed,Peru,7871.0
Stroke†,Event incidence,Total,Peru,47571.0
Stroke†,Event incidence,Percentage,Peru,17.0
Stroke†,Event incidence,Attributed,Uruguay,718.0
Stroke†,Event incidence,Total,Uruguay,5940.0
Stroke†,Event incidence,Percentage,Uruguay,12.0
Stroke†,Event incidence,Attributed,Total,144786.0
Stroke†,Event incidence,Total,Total,980275.0
Stroke†,Event incidence,Percentage,Total,15.0
Stroke†,Direct medical cost (millions $),Attributed,Argentina,277.4
Stroke†,Direct medical cost (millions $),Total,Argentina,1753.7
Stroke†,Direct medical cost (millions $),Percentage,Argentina,16.0
Stroke†,Direct medical cost (millions $),Attributed,Bolivia,78.3
Stroke†,Direct medical cost (millions $),Total,Bolivia,380.7
Stroke†,Direct medical cost (millions $),Percentage,Bolivia,21.0
Stroke†,Direct medical cost (millions $),Attributed,Brazil,653.0
Stroke†,Direct medical cost (millions $),Total,Brazil,3903.9
Stroke†,Direct medical cost (millions $),Percentage,Brazil,17.0
Stroke†,Direct medical cost (millions $),Attributed,Chile,244.8
Stroke†,Direct medical cost (millions $),Total,Chile,1029.3
Stroke†,Direct medical cost (millions $),Percentage,Chile,24.0
Stroke†,Direct medical cost (millions $),Attributed,Colombia,198.5
Stroke†,Direct medical cost (millions $),Total,Colombia,1229.3
Stroke†,Direct medical cost (millions $),Percentage,Colombia,16.0
Stroke†,Direct medical cost (millions $),Attributed,Costa Rica,9.4
Stroke†,Direct medical cost (millions $),Total,Costa Rica,83.1
Stroke†,Direct medical cost (millions $),Percentage,Costa Rica,11.0
Stroke†,Direct medical cost (millions $),Attributed,Ecuador,34.0
Stroke†,Direct medical cost (millions $),Total,Ecuador,254.8
Stroke†,Direct medical cost (millions $),Percentage,Ecuador,14.0
Stroke†,Direct medical cost (millions $),Attributed,Honduras,1.7
Stroke†,Direct medical cost (millions $),Total,Honduras,13.0
Stroke†,Direct medical cost (millions $),Percentage,Honduras,14.0
Stroke†,Direct medical cost (millions $),Attributed,Mexico,139.7
Stroke†,Direct medical cost (millions $),Total,Mexico,1315.3
Stroke†,Direct medical cost (millions $),Percentage,Mexico,11.0
Stroke†,Direct medical cost (millions $),Attributed,Paraguay,20.8
Stroke†,Direct medical cost (millions $),Total,Paraguay,110.2
Stroke†,Direct medical cost (millions $),Percentage,Paraguay,19.0
Stroke†,Direct medical cost (millions $),Attributed,Peru,95.2
Stroke†,Direct medical cost (millions $),Total,Peru,531.1
Stroke†,Direct medical cost (millions $),Percentage,Peru,18.0
Stroke†,Direct medical cost (millions $),Attributed,Uruguay,26.2
Stroke†,Direct medical cost (millions $),Total,Uruguay,194.6
Stroke†,Direct medical cost (millions $),Percentage,Uruguay,13.0
Stroke†,Direct medical cost (millions $),Attributed,Total,1779.0
Stroke†,Direct medical cost (millions $),Total,Total,10799.9
Stroke†,Direct medical cost (millions $),Percentage,Total,16.0
Pneumonia†,Deaths,Attributed,Argentina,3714.0
Pneumonia†,Deaths,Total,Argentina,23022.0
Pneumonia†,Deaths,Percentage,Argentina,16.0
Pneumonia†,Deaths,Attributed,Bolivia,1002.0
Pneumonia†,Deaths,Total,Bolivia,5853.0
Pneumonia†,Deaths,Percentage,Bolivia,17.0
Pneumonia†,Deaths,Attributed,Brazil,10900.0
Pneumonia†,Deaths,Total,Brazil,85442.0
Pneumonia†,Deaths,Percentage,Brazil,13.0
Pneumonia†,Deaths,Attributed,Chile,878.0
Pneumonia†,Deaths,Total,Chile,4196.0
Pneumonia†,Deaths,Percentage,Chile,21.0
Pneumonia†,Deaths,Attributed,Colombia,1102.0
Pneumonia†,Deaths,Total,Colombia,6231.0
Pneumonia†,Deaths,Percentage,Colombia,18.0
Pneumonia†,Deaths,Attributed,Costa Rica,75.0
Pneumonia†,Deaths,Total,Costa Rica,588.0
Pneumonia†,Deaths,Percentage,Costa Rica,13.0
Pneumonia†,Deaths,Attributed,Ecuador,543.0
Pneumonia†,Deaths,Total,Ecuador,3665.0
Pneumonia†,Deaths,Percentage,Ecuador,15.0
Pneumonia†,Deaths,Attributed,Honduras,75.0
Pneumonia†,Deaths,Total,Honduras,575.0
Pneumonia†,Deaths,Percentage,Honduras,13.0
Pneumonia†,Deaths,Attributed,Mexico,2084.0
Pneumonia†,Deaths,Total,Mexico,16304.0
Pneumonia†,Deaths,Percentage,Mexico,13.0
Pneumonia†,Deaths,Attributed,Paraguay,8.0
Pneumonia†,Deaths,Total,Paraguay,52.0
Pneumonia†,Deaths,Percentage,Paraguay,16.0
Pneumonia†,Deaths,Attributed,Peru,2738.0
Pneumonia†,Deaths,Total,Peru,14874.0
Pneumonia†,Deaths,Percentage,Peru,18.0
Pneumonia†,Deaths,Attributed,Uruguay,164.0
Pneumonia†,Deaths,Total,Uruguay,1096.0
Pneumonia†,Deaths,Percentage,Uruguay,15.0
Pneumonia†,Deaths,Attributed,Total,23283.0
Pneumonia†,Deaths,Total,Total,160054.0
Pneumonia†,Deaths,Percentage,Total,15.0
Pneumonia†,Event incidence,Attributed,Argentina,26699.0
Pneumonia†,Event incidence,Total,Argentina,134859.0
Pneumonia†,Event incidence,Percentage,Argentina,20.0
Pneumonia†,Event incidence,Attributed,Bolivia,9894.0
Pneumonia†,Event incidence,Total,Bolivia,58380.0
Pneumonia†,Event incidence,Percentage,Bolivia,17.0
Pneumonia†,Event incidence,Attributed,Brazil,121152.0
Pneumonia†,Event incidence,Total,Brazil,705548.0
Pneumonia†,Event incidence,Percentage,Brazil,17.0
Pneumonia†,Event incidence,Attributed,Chile,6174.0
Pneumonia†,Event incidence,Total,Chile,23445.0
Pneumonia†,Event incidence,Percentage,Chile,26.0
Pneumonia†,Event incidence,Attributed,Colombia,9440.0
Pneumonia†,Event incidence,Total,Colombia,52954.0
Pneumonia†,Event incidence,Percentage,Colombia,18.0
Pneumonia†,Event incidence,Attributed,Costa Rica,754.0
Pneumonia†,Event incidence,Total,Costa Rica,5339.0
Pneumonia†,Event incidence,Percentage,Costa Rica,14.0
Pneumonia†,Event incidence,Attributed,Ecuador,5783.0
Pneumonia†,Event incidence,Total,Ecuador,28429.0
Pneumonia†,Event incidence,Percentage,Ecuador,20.0
Pneumonia†,Event incidence,Attributed,Honduras,840.0
Pneumonia†,Event incidence,Total,Honduras,6850.0
Pneumonia†,Event incidence,Percentage,Honduras,12.0
Pneumonia†,Event incidence,Attributed,Mexico,21062.0
Pneumonia†,Event incidence,Total,Mexico,143005.0
Pneumonia†,Event incidence,Percentage,Mexico,15.0
Pneumonia†,Event incidence,Attributed,Paraguay,102.0
Pneumonia†,Event incidence,Total,Paraguay,625.0
Pneumonia†,Event incidence,Percentage,Paraguay,16.0
Pneumonia†,Event incidence,Attributed,Peru,24303.0
Pneumonia†,Event incidence,Total,Peru,128188.0
Pneumonia†,Event incidence,Percentage,Peru,19.0
Pneumonia†,Event incidence,Attributed,Uruguay,1060.0
Pneumonia†,Event incidence,Total,Uruguay,5573.0
Pneumonia†,Event incidence,Percentage,Uruguay,20.0
Pneumonia†,Event incidence,Attributed,Total,227309.0
Pneumonia†,Event incidence,Total,Total,1300328.0
Pneumonia†,Event incidence,Percentage,Total,17.0
Pneumonia†,Direct medical cost (millions $),Attributed,Argentina,7.0
Pneumonia†,Direct medical cost (millions $),Total,Argentina,35.4
Pneumonia†,Direct medical cost (millions $),Percentage,Argentina,20.0
Pneumonia†,Direct medical cost (millions $),Attributed,Bolivia,2.7
Pneumonia†,Direct medical cost (millions $),Total,Bolivia,16.2
Pneumonia†,Direct medical cost (millions $),Percentage,Bolivia,17.0
Pneumonia†,Direct medical cost (millions $),Attributed,Brazil,43.8
Pneumonia†,Direct medical cost (millions $),Total,Brazil,255.2
Pneumonia†,Direct medical cost (millions $),Percentage,Brazil,17.0
Pneumonia†,Direct medical cost (millions $),Attributed,Chile,1.5
Pneumonia†,Direct medical cost (millions $),Total,Chile,5.9
Pneumonia†,Direct medical cost (millions $),Percentage,Chile,26.0
Pneumonia†,Direct medical cost (millions $),Attributed,Colombia,3.6
Pneumonia†,Direct medical cost (millions $),Total,Colombia,20.4
Pneumonia†,Direct medical cost (millions $),Percentage,Colombia,18.0
Pneumonia†,Direct medical cost (millions $),Attributed,Costa Rica,1.5
Pneumonia†,Direct medical cost (millions $),Total,Costa Rica,10.3
Pneumonia†,Direct medical cost (millions $),Percentage,Costa Rica,20.0
Pneumonia†,Direct medical cost (millions $),Attributed,Ecuador,2.0
Pneumonia†,Direct medical cost (millions $),Total,Ecuador,12.7
Pneumonia†,Direct medical cost (millions $),Percentage,Ecuador,20.0
Pneumonia†,Direct medical cost (millions $),Attributed,Honduras,0.1
Pneumonia†,Direct medical cost (millions $),Total,Honduras,1.3
Pneumonia†,Direct medical cost (millions $),Percentage,Honduras,12.0
Pneumonia†,Direct medical cost (millions $),Attributed,Mexico,29.7
Pneumonia†,Direct medical cost (millions $),Total,Mexico,201.6
Pneumonia†,Direct medical cost (millions $),Percentage,Mexico,15.0
Pneumonia†,Direct medical cost (millions $),Attributed,Paraguay,0.1
Pneumonia†,Direct medical cost (millions $),Total,Paraguay,0.5
Pneumonia†,Direct medical cost (millions $),Percentage,Paraguay,16.0
Pneumonia†,Direct medical cost (millions $),Attributed,Peru,4.5
Pneumonia†,Direct medical cost (millions $),Total,Peru,23.7
Pneumonia†,Direct medical cost (millions $),Percentage,Peru,19.0
Pneumonia†,Direct medical cost (millions $),Attributed,Uruguay,1.4
Pneumonia†,Direct medical cost (millions $),Total,Uruguay,6.7
Pneumonia†,Direct medical cost (millions $),Percentage,Uruguay,20.0
Pneumonia†,Direct medical cost (millions $),Attributed,Total,97.9
Pneumonia†,Direct medical cost (millions $),Total,Total,590.3
Pneumonia†,Direct medical cost (millions $),Percentage,Total,17.0
COPD†,Deaths,Attributed,Argentina,9259.0
COPD†,Deaths,Total,Argentina,12367.0
COPD†,Deaths,Percentage,Argentina,75.0
COPD†,Deaths,Attributed,Bolivia,932.0
COPD†,Deaths,Total,Bolivia,1293.0
COPD†,Deaths,Percentage,Bolivia,72.0
COPD†,Deaths,Attributed,Brazil,31120.0
COPD†,Deaths,Total,Brazil,41924.0
COPD†,Deaths,Percentage,Brazil,74.0
COPD†,Deaths,Attributed,Chile,5526.0
COPD†,Deaths,Total,Chile,6750.0
COPD†,Deaths,Percentage,Chile,82.0
COPD†,Deaths,Attributed,Colombia,8028.0
COPD†,Deaths,Total,Colombia,10425.0
COPD†,Deaths,Percentage,Colombia,77.0
COPD†,Deaths,Attributed,Costa Rica,432.0
COPD†,Deaths,Total,Costa Rica,672.0
COPD†,Deaths,Percentage,Costa Rica,64.0
COPD†,Deaths,Attributed,Ecuador,2467.0
COPD†,Deaths,Total,Ecuador,3223.0
COPD†,Deaths,Percentage,Ecuador,77.0
COPD†,Deaths,Attributed,Honduras,461.0
COPD†,Deaths,Total,Honduras,731.0
COPD†,Deaths,Percentage,Honduras,63.0
COPD†,Deaths,Attributed,Mexico,12635.0
COPD†,Deaths,Total,Mexico,18164.0
COPD†,Deaths,Percentage,Mexico,70.0
COPD†,Deaths,Attributed,Paraguay,907.0
COPD†,Deaths,Total,Paraguay,1174.0
COPD†,Deaths,Percentage,Paraguay,77.0
COPD†,Deaths,Attributed,Peru,3933.0
COPD†,Deaths,Total,Peru,5065.0
COPD†,Deaths,Percentage,Peru,78.0
COPD†,Deaths,Attributed,Uruguay,1030.0
COPD†,Deaths,Total,Uruguay,1354.0
COPD†,Deaths,Percentage,Uruguay,76.0
COPD†,Deaths,Attributed,Total,76730.0
COPD†,Deaths,Total,Total,103142.0
COPD†,Deaths,Percentage,Total,74.0
COPD†,Event incidence,Attributed,Argentina,96569.0
COPD†,Event incidence,Total,Argentina,142818.0
COPD†,Event incidence,Percentage,Argentina,68.0
COPD†,Event incidence,Attributed,Bolivia,10349.0
COPD†,Event incidence,Total,Bolivia,16863.0
COPD†,Event incidence,Percentage,Bolivia,61.0
COPD†,Event incidence,Attributed,Brazil,378594.0
COPD†,Event incidence,Total,Brazil,557944.0
COPD†,Event incidence,Percentage,Brazil,68.0
COPD†,Event incidence,Attributed,Chile,60470.0
COPD†,Event incidence,Total,Chile,79636.0
COPD†,Event incidence,Percentage,Chile,76.0
COPD†,Event incidence,Attributed,Colombia,85120.0
COPD†,Event incidence,Total,Colombia,124833.0
COPD†,Event incidence,Percentage,Colombia,68.0
COPD†,Event incidence,Attributed,Costa Rica,5212.0
COPD†,Event incidence,Total,Costa Rica,9150.0
COPD†,Event incidence,Percentage,Costa Rica,57.0
COPD†,Event incidence,Attributed,Ecuador,35528.0
COPD†,Event incidence,Total,Ecuador,47501.0
COPD†,Event incidence,Percentage,Ecuador,75.0
COPD†,Event incidence,Attributed,Honduras,5141.0
COPD†,Event incidence,Total,Honduras,9621.0
COPD†,Event incidence,Percentage,Honduras,53.0
COPD†,Event incidence,Attributed,Mexico,147449.0
COPD†,Event incidence,Total,Mexico,238741.0
COPD†,Event incidence,Percentage,Mexico,62.0
COPD†,Event incidence,Attributed,Paraguay,10385.0
COPD†,Event incidence,Total,Paraguay,14887.0
COPD†,Event incidence,Percentage,Paraguay,70.0
COPD†,Event incidence,Attributed,Peru,49516.0
COPD†,Event incidence,Total,Peru,69728.0
COPD†,Event incidence,Percentage,Peru,71.0
COPD†,Event incidence,Attributed,Uruguay,9558.0
COPD†,Event incidence,Total,Uruguay,14029.0
COPD†,Event incidence,Percentage,Uruguay,68.0
COPD†,Event incidence,Attributed,Total,893891.0
COPD†,Event incidence,Total,Total,1325751.0
COPD†,Event incidence,Percentage,Total,67.0
COPD†,Direct medical cost (millions $),Attributed,Argentina,569.0
COPD†,Direct medical cost (millions $),Total,Argentina,767.2
COPD†,Direct medical cost (millions $),Percentage,Argentina,74.0
COPD†,Direct medical cost (millions $),Attributed,Bolivia,35.3
COPD†,Direct medical cost (millions $),Total,Bolivia,48.3
COPD†,Direct medical cost (millions $),Percentage,Bolivia,73.0
COPD†,Direct medical cost (millions $),Attributed,Brazil,4801.8
COPD†,Direct medical cost (millions $),Total,Brazil,6748.6
